af,ip_src,ip_dest,asn_src,asn_dest,timestamp,rtt_min
4,38.142.218.114,194.150.191.46,174,33988,1602023144,100.61862
4,38.142.218.114,194.150.191.46,174,33988,1602023383,100.67754
4,38.142.218.114,194.150.191.46,174,33988,1602023633,100.64784
4,38.142.218.114,194.150.191.46,174,33988,1602023873,100.48723
4,38.142.218.114,194.150.191.46,174,33988,1602024103,100.603315
4,38.142.218.114,194.150.191.46,174,33988,1602024347,100.67507
4,38.142.218.114,194.150.191.46,174,33988,1602024595,100.66797
4,38.142.218.114,194.150.191.46,174,33988,1602024835,100.602855
4,38.142.218.114,194.150.191.46,174,33988,1602025066,100.538415
4,192.0.46.157,88.198.173.54,16876,24940,1602021678,88.638044
4,192.136.136.221,88.198.173.54,10745,24940,1602021686,86.77939
4,63.218.125.154,88.198.173.54,3491,24940,1602021695,91.922637
4,204.9.93.238,88.198.173.54,16409,24940,1602021693,86.219238
4,206.196.178.150,88.198.173.54,10886,24940,1602021727,93.510555
4,192.0.46.157,88.198.173.54,16876,24940,1602021918,88.357747
4,192.136.136.221,88.198.173.54,10745,24940,1602021934,86.79499
4,63.218.125.154,88.198.173.54,3491,24940,1602021938,92.00489
4,204.9.93.238,88.198.173.54,16409,24940,1602021932,86.374777
4,206.196.178.150,88.198.173.54,10886,24940,1602021963,93.473891
4,192.0.46.157,88.198.173.54,16876,24940,1602022149,88.353198
4,192.136.136.221,88.198.173.54,10745,24940,1602022170,87.01237
4,63.218.125.154,88.198.173.54,3491,24940,1602022177,91.87996
4,204.9.93.238,88.198.173.54,16409,24940,1602022169,86.289414
4,206.196.178.150,88.198.173.54,10886,24940,1602022213,93.381795
4,192.0.46.157,88.198.173.54,16876,24940,1602022391,87.949312
4,192.136.136.221,88.198.173.54,10745,24940,1602022407,181.561229
4,63.218.125.154,88.198.173.54,3491,24940,1602022409,91.992057
4,204.9.93.238,88.198.173.54,16409,24940,1602022418,85.775078
4,206.196.178.150,88.198.173.54,10886,24940,1602022446,92.963654
4,192.0.46.157,88.198.173.54,16876,24940,1602022632,87.959897
4,192.136.136.221,88.198.173.54,10745,24940,1602022644,86.688933
4,63.218.125.154,88.198.173.54,3491,24940,1602022651,91.922759
4,204.9.93.238,88.198.173.54,16409,24940,1602022655,86.302452
4,206.196.178.150,88.198.173.54,10886,24940,1602022691,93.535637
4,192.0.46.157,88.198.173.54,16876,24940,1602022877,87.85883
4,192.136.136.221,88.198.173.54,10745,24940,1602022894,86.791016
4,63.218.125.154,88.198.173.54,3491,24940,1602022889,91.887364
