af,ip_src,ip_dest,asn_src,asn_dest,timestamp,rtt_min
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602021730,87.859024
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602021739,91.836944
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602021742,91.33312
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602021793,95.371063
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602021829,85.72578
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602021975,87.852115
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602021985,91.835776
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602021978,91.241832
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602022034,95.191678
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602022075,86.24531
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602022207,88.008274
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602022212,91.850327
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602022222,91.26678
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602022271,
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602022307,85.965953
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602022458,87.874159
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602022459,92.078206
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602022454,91.395723
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602022506,95.425536
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602022543,89.261371
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602022692,87.80559
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602022698,91.876899
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602022696,91.332795
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602022747,95.324173
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602022794,85.975244
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602022931,87.949159
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602022933,91.891202
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602022939,91.389102
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602022987,95.070065
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602023023,86.196037
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602023166,88.140149
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602023185,91.823482
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602023172,91.404251
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602023234,95.329273
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602023267,85.895702
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602023407,87.99535
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602023413,91.918776
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602023413,91.558193
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602023460,
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602023514,87.073268
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602023654,87.99594
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602023660,91.9106
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602023652,91.525306
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602023711,95.263048
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602023751,85.807658
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602023892,87.843105
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602023896,91.879032
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602023902,91.416602
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602023945,95.286113
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602023985,86.175472
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602024133,87.857237
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602024137,91.859034
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602024139,91.522126
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602024180,95.224089
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602024228,85.941389
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602024376,87.982898
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602024375,91.841409
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602024376,91.45696
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602024425,95.14387
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602024474,85.855862
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602024609,88.116664
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602024623,92.03938
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602024617,91.446644
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602024663,95.271763
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602024712,86.000788
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602024845,87.973014
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602024859,91.831567
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602024854,91.276228
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602024907,95.171209
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602024955,85.73224
6,2001:468:c00:10::2,2001:67c:14c:12f::46,10886,33988,1602025096,87.955185
6,2400:8800:5f07:3::2,2001:67c:14c:12f::46,3491,33988,1602025100,91.83772
6,2001:550:102:ff::c0a,2001:67c:14c:12f::46,16409,33988,1602025102,91.243382
6,2620:0:2830:203::157,2001:67c:14c:12f::46,16876,33988,1602025142,95.329288
6,2001:500:110::221,2001:67c:14c:12f::46,10745,33988,1602025194,86.252965
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602021706,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602021942,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602022191,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602022422,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602022671,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602022898,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602023142,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602023387,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602023620,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602023869,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602024111,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602024343,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602024584,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602024822,
6,2001:470:e43d:2:ee08:6bff:fe73:4326,2001:67c:14c:12f::46,6939,33988,1602025064,
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602021714,89.983638
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602021674,90.783869
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602021717,87.167846
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602021700,92.029026
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602021691,90.087005
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602021958,89.804145
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602021917,90.886017
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602021941,92.230412
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602021930,90.092538
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602021961,87.204397
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602022196,89.761494
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602022155,90.841003
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602022196,87.349954
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602022175,92.028734
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602022178,89.9598
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602022435,89.717186
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602022395,197.507804
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602022429,87.436379
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602022424,92.03245
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602022415,89.533247
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602022667,89.649122
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602022630,90.687998
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602022658,91.911585
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602022663,89.908518
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602022680,87.459409
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602022874,90.818024
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602022909,87.248663
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602022904,91.959204
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602022891,89.89753
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602022920,89.745497
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602023154,89.769057
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602023104,90.792984
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602023154,87.539024
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602023144,92.032922
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602023141,90.076081
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602023348,90.880282
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602023378,92.055046
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602023370,90.045164
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602023400,89.951613
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602023400,87.485201
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602023631,89.910293
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602023590,90.969715
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602023630,87.426182
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602023623,92.116736
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602023614,90.00522
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602023872,89.715116
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602023834,90.790259
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602023873,87.452702
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602023860,92.047424
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602023854,89.985133
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602024115,89.716034
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602024071,90.815989
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602024114,87.375439
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602024102,92.057458
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602024101,89.980495
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602024355,89.750421
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602024312,91.166204
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602024355,87.476375
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602024330,91.976124
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602024330,90.075372
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602024550,90.828483
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602024581,91.957612
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602024572,90.03234
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602024600,89.736207
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602024600,87.517593
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602024834,89.75982
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602024795,90.776954
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602024833,87.393748
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602024812,92.022461
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602024821,89.981955
6,2620:0:2830:203::157,2a01:4f8:de::54,16876,24940,1602025078,89.806501
6,2001:500:110::221,2a01:4f8:de::54,10745,24940,1602025027,90.835173
6,2001:468:c00:10::2,2a01:4f8:de::54,10886,24940,1602025070,87.301254
6,2400:8800:5f07:3::2,2a01:4f8:de::54,3491,24940,1602025050,92.033612
6,2001:550:102:ff::c0a,2a01:4f8:de::54,16409,24940,1602025061,89.985855
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602021654,93.98539
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602021639,88.612427
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602021653,94.449133
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602021819,93.884175
6,2001:468:c00:10::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,10886,197540,1602021805,92.521091
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602021893,93.990146
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602021880,88.621168
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602021885,94.632595
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602022072,93.417496
6,2001:468:c00:10::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,10886,197540,1602022047,92.51281
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602022129,93.99157
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602022131,88.700533
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602022133,94.496762
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602022301,93.326637
6,2001:468:c00:10::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,10886,197540,1602022295,92.555803
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602022374,
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602022359,88.451669
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602022369,94.194319
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602022547,93.633233
6,2001:468:c00:10::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,10886,197540,1602022526,92.193352
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602022617,92.995463
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602022612,88.382352
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602022599,94.253287
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602022787,93.458751
6,2001:468:c00:10::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,10886,197540,1602022777,92.716682
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602022845,94.101112
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602022853,88.340684
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602022849,94.563923
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602023023,93.509784
6,2001:468:c00:10::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,10886,197540,1602023004,92.720778
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602023086,93.956866
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602023086,88.361636
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602023085,94.335051
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602023266,93.466175
6,2001:468:c00:10::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,10886,197540,1602023255,92.690509
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602023331,94.047244
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602023333,88.428254
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602023319,94.416806
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602023502,93.592764
6,2001:468:c00:10::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,10886,197540,1602023493,92.747665
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602023576,94.129747
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602023563,88.40816
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602023559,94.42395
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602023743,93.603194
6,2001:468:c00:10::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,10886,197540,1602023734,92.670483
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602023806,93.922337
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602023811,88.444824
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602023803,94.463703
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602023986,93.555145
6,2001:468:c00:10::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,10886,197540,1602023971,92.484852
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602024047,93.864542
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602024051,88.372888
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602024046,94.359873
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602024224,93.422776
6,2001:468:c00:10::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,10886,197540,1602024211,92.478931
6,2001:500:110::221,2a03:4000:27:579:184b:5fff:fe50:3ee3,10745,197540,1602024290,94.037338
6,2400:8800:5f07:3::2,2a03:4000:27:579:184b:5fff:fe50:3ee3,3491,197540,1602024290,88.33966
6,2001:550:102:ff::c0a,2a03:4000:27:579:184b:5fff:fe50:3ee3,16409,197540,1602024290,94.450657
6,2620:0:2830:203::157,2a03:4000:27:579:184b:5fff:fe50:3ee3,16876,197540,1602024470,93.693357
