af,ip_src,ip_dest,asn_src,asn_dest,timestamp,rtt_min
4,192.0.46.157,194.150.191.46,16876,33988,1602039732,87.976477
4,63.218.125.154,194.150.191.46,3491,33988,1602039740,86.115187
4,204.9.93.238,194.150.191.46,16409,33988,1602039734,94.811311
4,192.136.136.221,194.150.191.46,10745,33988,1602039789,92.109163
4,206.196.178.150,194.150.191.46,10886,33988,1602039825,86.739464
4,192.0.46.157,194.150.191.46,16876,33988,1602039970,87.932878
4,63.218.125.154,194.150.191.46,3491,33988,1602039982,86.139298
4,204.9.93.238,194.150.191.46,16409,33988,1602039974,94.786937
4,192.136.136.221,194.150.191.46,10745,33988,1602040032,91.916934
4,206.196.178.150,194.150.191.46,10886,33988,1602040054,86.554169
4,192.0.46.157,194.150.191.46,16876,33988,1602040208,87.826319
4,63.218.125.154,194.150.191.46,3491,33988,1602040219,86.133687
4,204.9.93.238,194.150.191.46,16409,33988,1602040211,94.683094
4,192.136.136.221,194.150.191.46,10745,33988,1602040276,91.757543
4,206.196.178.150,194.150.191.46,10886,33988,1602040302,86.487226
4,192.0.46.157,194.150.191.46,16876,33988,1602040447,88.000502
4,63.218.125.154,194.150.191.46,3491,33988,1602040453,86.115106
4,204.9.93.238,194.150.191.46,16409,33988,1602040462,94.659636
4,192.136.136.221,194.150.191.46,10745,33988,1602040513,91.85809
4,206.196.178.150,194.150.191.46,10886,33988,1602040547,86.587054
4,192.0.46.157,194.150.191.46,16876,33988,1602040685,87.895138
4,63.218.125.154,194.150.191.46,3491,33988,1602040695,86.074379
4,204.9.93.238,194.150.191.46,16409,33988,1602040695,94.664086
4,192.136.136.221,194.150.191.46,10745,33988,1602040758,91.833461
4,206.196.178.150,194.150.191.46,10886,33988,1602040778,86.628509
4,192.0.46.157,194.150.191.46,16876,33988,1602040936,87.803169
4,63.218.125.154,194.150.191.46,3491,33988,1602040935,86.085226
4,204.9.93.238,194.150.191.46,16409,33988,1602040943,94.649738
4,192.136.136.221,194.150.191.46,10745,33988,1602040996,91.644465
4,206.196.178.150,194.150.191.46,10886,33988,1602041023,86.536714
4,192.0.46.157,194.150.191.46,16876,33988,1602041162,87.931037
4,63.218.125.154,194.150.191.46,3491,33988,1602041183,86.085454
4,204.9.93.238,194.150.191.46,16409,33988,1602041176,94.728688
4,192.136.136.221,194.150.191.46,10745,33988,1602041243,91.757263
4,206.196.178.150,194.150.191.46,10886,33988,1602041259,86.532361
4,192.0.46.157,194.150.191.46,16876,33988,1602041409,88.11808
4,63.218.125.154,194.150.191.46,3491,33988,1602041424,86.126892
4,204.9.93.238,194.150.191.46,16409,33988,1602041420,94.726764
4,192.136.136.221,194.150.191.46,10745,33988,1602041476,91.81649
4,206.196.178.150,194.150.191.46,10886,33988,1602041500,86.503072
4,192.0.46.157,194.150.191.46,16876,33988,1602041649,87.967888
4,63.218.125.154,194.150.191.46,3491,33988,1602041658,86.139084
4,204.9.93.238,194.150.191.46,16409,33988,1602041656,94.844284
4,192.136.136.221,194.150.191.46,10745,33988,1602041719,91.778356
4,206.196.178.150,194.150.191.46,10886,33988,1602041740,86.618703
4,192.0.46.157,194.150.191.46,16876,33988,1602041896,87.948263
4,63.218.125.154,194.150.191.46,3491,33988,1602041893,86.21215
4,204.9.93.238,194.150.191.46,16409,33988,1602041905,94.840702
4,192.136.136.221,194.150.191.46,10745,33988,1602041957,91.82121
4,206.196.178.150,194.150.191.46,10886,33988,1602041977,86.68394
4,192.0.46.157,194.150.191.46,16876,33988,1602042126,88.000722
4,63.218.125.154,194.150.191.46,3491,33988,1602042140,86.181337
4,204.9.93.238,194.150.191.46,16409,33988,1602042133,94.848321
