prb_id,address_v4,address_v6,asn_v4,asn_v6,msm_url
18390,92.243.138.53,,44512,,https://atlas.ripe.net/api/v2/probes/18390/measurements/?format=json
18609,130.186.20.238,,137,,https://atlas.ripe.net/api/v2/probes/18609/measurements/?format=json
19010,93.34.115.23,2001:b07:ae5:8c32:ea94:f6ff:fe48:9146,12874,12874,https://atlas.ripe.net/api/v2/probes/19010/measurements/?format=json
19345,,,43989,,https://atlas.ripe.net/api/v2/probes/19345/measurements/?format=json
19505,,2a02:810d:98c0:5a91:ea94:f6ff:fe48:5d62,,31334,https://atlas.ripe.net/api/v2/probes/19505/measurements/?format=json
19634,178.114.118.209,,8437,,https://atlas.ripe.net/api/v2/probes/19634/measurements/?format=json
19699,83.175.75.72,,31510,,https://atlas.ripe.net/api/v2/probes/19699/measurements/?format=json
19815,151.62.122.14,,1267,,https://atlas.ripe.net/api/v2/probes/19815/measurements/?format=json
19847,87.20.19.107,,3269,,https://atlas.ripe.net/api/v2/probes/19847/measurements/?format=json
20033,212.63.130.114,,8741,,https://atlas.ripe.net/api/v2/probes/20033/measurements/?format=json
20735,158.255.193.30,,57507,,https://atlas.ripe.net/api/v2/probes/20735/measurements/?format=json
21204,85.42.93.202,,3269,,https://atlas.ripe.net/api/v2/probes/21204/measurements/?format=json
21229,80.182.241.90,,3269,,https://atlas.ripe.net/api/v2/probes/21229/measurements/?format=json
21246,212.84.34.30,,199547,,https://atlas.ripe.net/api/v2/probes/21246/measurements/?format=json
21247,,,,,https://atlas.ripe.net/api/v2/probes/21247/measurements/?format=json
21265,87.4.17.77,,3269,,https://atlas.ripe.net/api/v2/probes/21265/measurements/?format=json
21274,79.41.150.101,,3269,,https://atlas.ripe.net/api/v2/probes/21274/measurements/?format=json
21286,151.62.246.125,,1267,,https://atlas.ripe.net/api/v2/probes/21286/measurements/?format=json
21299,46.38.225.49,2a03:4000:0:1::e131,197540,197540,https://atlas.ripe.net/api/v2/probes/21299/measurements/?format=json
21377,213.26.115.122,,3269,,https://atlas.ripe.net/api/v2/probes/21377/measurements/?format=json
21486,37.180.27.254,fd3b:fa64:931:0:ea94:f6ff:fe48:4fbc,30722,,https://atlas.ripe.net/api/v2/probes/21486/measurements/?format=json
21588,193.43.34.29,,12835,,https://atlas.ripe.net/api/v2/probes/21588/measurements/?format=json
21930,176.10.10.217,2001:4c00:255:10:c24a:ff:fea0:18b6,34695,34695,https://atlas.ripe.net/api/v2/probes/21930/measurements/?format=json
22003,93.56.117.42,2001:b07:5d38:752a:c24a:ff:fecc:8244,12874,12874,https://atlas.ripe.net/api/v2/probes/22003/measurements/?format=json
22074,213.26.115.138,,3269,,https://atlas.ripe.net/api/v2/probes/22074/measurements/?format=json
22150,,,200409,,https://atlas.ripe.net/api/v2/probes/22150/measurements/?format=json
22207,31.13.143.206,2a02:e50:0:100::2,49605,49605,https://atlas.ripe.net/api/v2/probes/22207/measurements/?format=json
22296,,,3269,,https://atlas.ripe.net/api/v2/probes/22296/measurements/?format=json
22527,37.176.171.218,fd2c:f71b:dd58:0:ea94:f6ff:fee3:6b7a,30722,,https://atlas.ripe.net/api/v2/probes/22527/measurements/?format=json
22545,151.62.146.99,,1267,,https://atlas.ripe.net/api/v2/probes/22545/measurements/?format=json
22879,87.19.126.22,,3269,,https://atlas.ripe.net/api/v2/probes/22879/measurements/?format=json
22987,87.19.129.20,,3269,,https://atlas.ripe.net/api/v2/probes/22987/measurements/?format=json
23303,31.13.143.238,2a02:e50:0:101::2,49605,49605,https://atlas.ripe.net/api/v2/probes/23303/measurements/?format=json
24503,195.110.97.163,,12363,,https://atlas.ripe.net/api/v2/probes/24503/measurements/?format=json
24995,,,201011,,https://atlas.ripe.net/api/v2/probes/24995/measurements/?format=json
25717,77.89.54.34,2a03:c380:3001:ff01::1003:155,21309,21309,https://atlas.ripe.net/api/v2/probes/25717/measurements/?format=json
25763,188.22.210.226,,8447,,https://atlas.ripe.net/api/v2/probes/25763/measurements/?format=json
26210,83.149.128.205,,31319,,https://atlas.ripe.net/api/v2/probes/26210/measurements/?format=json
26355,185.115.175.237,,204053,,https://atlas.ripe.net/api/v2/probes/26355/measurements/?format=json
26908,,,3320,3320,https://atlas.ripe.net/api/v2/probes/26908/measurements/?format=json
27276,79.16.107.145,,3269,,https://atlas.ripe.net/api/v2/probes/27276/measurements/?format=json
